,0
120265,E9PVX6
111531,Q43502
244928,P40866
106005,A8FHQ9
19824,O24541
73430,A2ARK0
89594,B7J2L3
110267,Q7VLR8
39874,Q0C9R3
142662,B0UUL6
87517,Q6ESF0
177847,Q96680
262451,Q2KI09
53450,Q0TU57
280250,Q48AU1
110689,P24711
268032,A2AJB2
184324,O13016
135361,Q8YI29
235997,P28475
174,B5XZA0
303899,O26618
98223,Q9N2M8
85254,A8N7T9
75187,P17824
256530,B0RZY8
131247,Q7NQ05
291443,E7FEV0
290883,Q8DBZ8
316972,Q18079
158164,A4FPT1
252656,B2S075
102894,Q5P7C3
176154,A8GD16
12667,B2UGK8
309049,P32128
164125,Q8LPW4
164128,A1CFK8
43619,B5ET63
103384,Q8ZY39
139373,Q1WVH7
245876,Q9M1K3
267917,A7HFW0
164563,Q90678
55836,A6V333
309629,P30864
306464,Q10309
52521,A6Q4D7
187747,P28192
27931,B0UET5
75861,P23484
65094,B5EHW0
141120,Q23223
120994,A0R525
105692,A4SNL6
77791,P44513
140861,Q91ZB8
289885,P05930
156179,Q7RTR0
14831,Q7VNC2
214664,B8J183
304831,P96644
55771,Q8R2I8
284952,Q6X7J3
258972,B7K9K1
1272,P31562
21993,P0CH03
134967,A6Q388
231705,B8I262
150839,Q6N069
69405,P19470
278246,Q44696
243157,P94370
48154,Q55BZ5
214266,Q4PSL7
271100,O14763
209355,B7J485
126664,P73646
308360,B2IYZ8
311596,O05240
161194,Q1QD97
75005,Q6CGG3
270108,B8CU29
274116,Q8DVF4
259118,B2UGJ8
19031,Q8LQ36
230960,Q752E4
6882,P39762
127513,P65319
158650,A1VRC9
119977,Q725T6
125540,P25276
96868,Q8NQA1
161008,Q8M892
89950,Q7W3U1
98343,Q57989
124618,P40952
312388,Q9URY0
146596,P08593
189155,P49860
249093,P49965
213497,A8LM49
169097,Q96RG2
13458,Q2NRV8
156312,C1ER74
129102,Q8ZMX2
51369,Q339N5
232794,Q8TUS2
256642,C0HKD6
182991,P9WI12
71436,Q8BP22
189781,P31590
203131,C5CGH3
300843,Q9FX77
167641,P10515
119518,B8HXG7
53904,L7X3H5
194729,Q8ZKV9
242425,B0TTI7
188847,Q0P3K0
82749,Q58NQ4
133965,P37353
53041,Q30KJ6
35295,Q2TVY9
145853,Q23359
256524,Q12TN5
238158,P02632
44360,Q0WW26
155602,Q18673
164937,Q9D8W7
282867,P17575
181943,Q52620
81475,Q8ZEB6
140404,Q19338
113352,Q2IW23
115468,A1WUH1
96347,P15750
161819,Q7UI46
172848,P70683
146818,Q05049
50736,A8MQ03
32064,P10300
14473,Q11QI8
218683,Q9Z9A1
65088,Q6AP40
17328,Q36362
192820,Q2YBH2
190318,Q8GDV4
119860,Q9HEW1
51759,A0LTZ0
126696,P34892
175161,Q4GZT3
15516,P24244
64559,Q6F1A9
264184,Q6G7L8
24279,Q2J6H9
139633,Q21FH4
125382,C0HK14
155102,P0DI83
258420,A4YIL0
79127,Q9BGI0
248939,O70555
63983,C5FTN2
51173,Q8NBI2
178675,A5VCY9
120790,A2SIS3
77544,P18397
77753,Q9Y5Y0
174531,A1WMX6
220489,Q9MUS5
233963,Q83GK0
90320,Q86QH9
232160,Q556Y1
39098,G4NK46
131240,B1KNT0
206093,Q9UWR8
132064,Q7YJH1
187575,Q7N4X5
145567,P04113
258604,A6LJM9
61906,Q7NJV3
143346,Q820E9
108864,Q9HQ00
99744,Q7VN44
137581,Q99735
307674,Q10497
235294,Q9PJG0
243801,C5E4H7
54024,Q34814
260811,Q868G6
257949,Q16B16
2151,Q975C8
102045,Q22633
151196,Q4JW97
223981,B6YW70
81522,Q6C3R3
295897,Q9CN17
69368,Q1LSV6
268214,P57705
146749,Q20680
259555,Q39162
183760,Q9DBS8
186677,P60811
203305,Q3V514
280193,B3PJA9
305114,A7Z6U6
219174,Q07327
269345,P0C293
305574,P0ADX0
16538,A8A8Z7
255843,Q9Y6J9
30104,Q74N46
302636,C5CC85
284750,A8MXK1
100627,P33129
226348,Q5FM91
284464,Q9PVK9
156107,Q61041
223690,Q89AP2
71535,B2HI05
194028,C3Z6E6
7847,P38313
221534,Q23757
288060,A1JLD8
286686,A5FKL6
94472,Q9SIF3
239386,Q9D856
100951,P58378
60241,Q9PW71
94061,Q7N9W3
107684,A8G7R9
206713,A0QKU4
212677,B1Y149
276097,A5PJS6
163300,F4HZX7
283582,O80977
8846,A9I1T6
248629,Q8IMP6
166525,P76027
103741,B7NRH6
237768,Q7CQY1
291258,Q9T1T2
12862,Q7VHM1
15795,B6YRU6
273331,A4TEN0
3452,P39180
51237,A1BJH0
310808,P0AFU6
156622,Q993T1
152604,O16662
283652,Q84WL6
72240,P0A9W3
127132,P96196
76537,Q96GI7
106374,A6QNR0
283228,Q9XCW3
264562,Q042N0
169358,Q3ATB8
213500,B0RZU1
115781,Q86XH1
221757,A3MXZ9
135471,A9FST8
20378,Q831A3
45936,Q922C1
307589,P94421
318138,P96725
267484,Q95108
140545,Q6L0A8
210776,Q9NSD7
33094,Q28I03
96164,P01945
207389,A9KHG9
35112,Q9QXS4
63092,Q6LUA6
304427,Q57389
304354,O58371
68322,Q5P951
159980,F4KCL7
172424,O76537
28848,P47575
266714,A1WXW9
78052,Q9JYI8
11369,P0AE25
119568,Q2IL45
141359,Q88V80
159467,A1TLL6
184015,Q0VL74
200413,A9IZB5
263585,Q00842
237191,A4QIG3
223404,B2S9V3
16185,A8Z5X3
224484,Q8EKU0
72798,Q9EQG7
217914,Q2J766
230454,A1QZH4
243960,P11277
232287,P59126
53276,Q604W0
193038,C4LBR2
18620,Q8CNJ5
108617,Q9VT50
273187,Q2NIY3
124619,Q1IY56
211824,Q5FHQ2
298125,Q57805
216989,A1KGE7
71154,Q0DZ85
63726,B2RYG8
97130,Q8CZE3
263345,P57653
313835,B0URU4
20150,F4JTJ9
255166,Q6GML7
160113,A6W2V6
13456,B4ETL8
80704,Q8RWC5
233952,C0MGC2
167764,O43749
152776,Q5TBK1
235378,F4KEL0
263108,Q811P6
288314,Q9VM71
298525,O05977
259838,Q9VW27
184063,Q2UEN6
131901,Q5R7F9
274675,B2IKL7
155318,O13691
165308,A7NG79
80941,D4A2Q0
49074,Q6NT55
14645,C4JYG6
80833,A7Z9A2
196125,Q9ZVI3
307730,P56607
51940,P28022
191538,O51053
181320,P33664
172427,P63754
16032,Q66DP5
247990,A1RYM3
123267,A5I6T8
167755,P46920
98589,Q31N58
247526,C3TS10
160296,Q06927
3325,P58780
311726,Q8CJ78
125137,Q6G0J2
269252,Q8XBK9
218619,A5FN06
310996,Q5UR27
40721,A0LV90
115383,B9MKG1
46780,P43030
13365,Q5WED9
289515,Q9Z994
58150,A9W6R8
245610,P53078
203533,Q839F7
3660,B7V8A3
260160,Q0VBL1
22809,A7F7B2
139777,P02611
124462,A3R4N4
262099,A7GKR4
131664,P0CR25
7019,Q9LX07
204515,C4K4F3
139786,Q0HKV0
150401,Q02496
76545,Q17RN3
149752,Q0A8K3
213410,Q0VSK3
52384,E7DN64
18410,Q1DZE0
182812,Q9NES8
227267,B8D0B9
295437,P47590
198231,A2SZW8
9072,Q7U5R5
174595,A8GJV0
254171,Q01U81
98140,Q6FKS5
102092,C0ZB46
33520,Q8GZA4
312026,P34492
270692,Q8KX32
10778,Q3AYW4
11938,A1VXF1
28054,P17555
38078,Q94CG0
266289,B1Y6H4
116935,Q2TW34
194466,A5WGB5
74519,Q6P587
44549,Q03746
172267,C4Y9H0
276085,Q9Y8K8
206323,Q68FE6
222905,B8I259
261043,Q9ZVN9
310918,Q5UP94
233697,C1F466
33429,Q4K4W8
97186,P35667
69349,Q3SKH1
7928,Q897P5
272139,P55146
280558,P32772
24829,Q6BRL3
183525,P30656
205406,Q8YTT3
140922,B3A0N9
1457,P16276
178180,P41656
116513,Q59WU8
311862,O34454
258528,Q2SL47
32202,A8HUA1
199091,Q9PQJ4
65208,Q99MS7
106016,Q2N8I5
118584,B3PJB0
216484,B4EUF2
179126,Q2UPS5
69062,Q9VN95
252297,F4IAG2
13745,Q9SR05
179340,P57976
105951,A5UY50
264418,P21337
132570,P33163
275198,E7F6T8
2100,Q54TR5
244518,F4KG50
245822,Q9P7T1
51244,Q87KE9
143143,B9DJN5
158027,Q8VYR2
290877,P61618
265867,Q9X6W7
90947,Q09580
172620,Q9M1K0
290105,Q8PGR5
214538,Q7WHM8
232737,P12759
109422,P10296
22083,Q9LZZ9
34180,K8DWB5
89210,A8YX58
281377,Q01630
147560,Q2G2M4
105131,Q93FD2
17368,A7H1H9
207228,A4SCT7
236671,P08823
52311,A5F2W1
83067,S0ELJ9
78823,B8H082
45497,A0NDK8
122940,P01674
195283,P23161
245714,A1SZI0
112616,Q8DSQ6
252057,Q8K9E7
66463,Q15W93
126877,A9KS68
210482,Q9PE58
2129,P75747
304073,A9KSS4
116720,Q5K2N9
218245,B2S687
234360,Q0AE54
47082,Q9I426
131678,Q8KBH7
88804,D3DKC4
12426,P59324
204279,Q71ZD0
137036,A4XPY6
7784,Q5I0K7
207433,C0Q9W8
155976,C5A500
46807,P81379
106917,Q550E9
250787,Q687X5
308805,O45731
61271,A3CSG3
15712,A1AWR5
117270,Q82XJ3
204969,A8M542
88412,Q758X6
153930,Q0BTT2
300438,O83742
195757,Q3JSI8
53629,Q2V4E0
49460,Q6PN81
163502,A0A1R3RGK0
93338,Q976H2
81947,P75096
102858,Q3ZXL7
194179,Q9QXK2
291808,Q8DXT6
56335,O66540
283691,A0PYB7
28606,P21630
136843,Q8PGE8
275935,O23654
251283,Q9KGF6
223889,Q7MTN9
112915,P69045
113830,Q5YZH9
254163,Q1RJS2
235,Q6QGT3
252683,A8LKA5
95992,B1WAR9
95012,P51922
171755,A5DAD0
109096,Q8G3Y5
53430,Q92JA1
210565,O66075
86960,Q64WS3
257791,Q8ENF3
113980,A6QQQ9
5453,Q482J9
239972,Q8WV19
137944,C0QR62
34915,P52194
4611,O04529
162819,Q58DC8
292927,Q6R7J1
269961,Q5KT10
163182,B0CDA2
74975,P68647
137857,B0T155
211124,A9KFV0
3009,Q08507
283629,Q9XC90
7255,B3PNI8
77254,Q3E7S2
292632,P9WL54
240088,Q4UNE0
9341,Q1I563
259115,A9BAX2
295756,Q9FK10
5999,P10593
99936,Q5YYP5
266682,Q0VSS5
43595,A4G3R6
282475,P25135
22281,Q2N8Z5
133741,B7KVX2
64639,Q04SI9
223628,B6JLE4
249547,Q5HB98
150673,C4Z417
17829,A6VL58
22573,Q5NPY7
201700,A8LS71
39423,P53188
246367,Q9LND7
62249,A8E5C5
231738,Q6D000
179450,Q8JZW8
100833,Q4A048
162360,C6XJX0
313926,Q9US14
206569,Q8D235
253668,A4QDQ6
292653,A5FG48
279876,A4XPM7
82083,B0YLW8
133210,Q66K74
151075,Q5L1E2
313126,Q9X1H3
43934,Q558X5
138556,Q7I9M7
61254,Q98NW7
158680,P9WH77
240833,Q8DSF0
50940,Q9BPD5
266457,P43298
154538,Q5B748
63491,O43921
308658,Q9RGS4
153076,F1CJ89
75995,Q503S1
17214,A3LZS3
54822,B6J229
37878,P12834
215895,Q9Z7S2
215601,Q5YPR7
217533,A2SHB8
262646,Q9HZX3
206000,Q3YRN3
266955,Q6P9B6
223563,Q7TU38
171146,O84913
129798,P24597
300973,Q9LP77
202725,Q0IHE5
125941,Q3SPI3
